vehicle,law,param,value,group,route,score
fixed_wing,lead_vf,lead_time,0.4,limit respected,2000,0.028297816507096955
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2000,0.0319530940953873
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2001,0.0259507702848399
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2001,0.13759881382559566
fixed_wing,lead_vf,lead_time,0.4,limit respected,2001,0.0077213868091392
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2001,0.007738289932155219
fixed_wing,lead_vf,lead_time,0.4,limit respected,2001,0.006666240089795659
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2001,0.006329973561388638
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2001,0.016758541390386995
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2001,0.37525994159123677
fixed_wing,lead_vf,lead_time,0.4,limit respected,2001,0.01925827910967499
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2001,0.017457997915156544
fixed_wing,lead_vf,lead_time,0.4,limit respected,2001,0.014320283233973698
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2001,0.016247898089207943
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2001,0.3640292007640607
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2001,0.03637300150833589
fixed_wing,lead_vf,lead_time,0.4,limit respected,2001,0.03553989778388357
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2001,0.04319140000044536
fixed_wing,lead_vf,lead_time,0.4,limit respected,2001,0.03883235364169074
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2001,0.034418565002629624
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2002,0.028821577454515426
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2002,0.15430684415167242
fixed_wing,lead_vf,lead_time,0.4,limit respected,2002,0.007260713392060797
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2002,0.007507903312314528
fixed_wing,lead_vf,lead_time,0.4,limit respected,2002,0.006387222954096092
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2002,0.006241163247497449
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2002,0.16499787050052214
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2002,0.2850787565126855
fixed_wing,lead_vf,lead_time,0.4,limit respected,2002,0.01888920156015382
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2002,0.038777194203794135
fixed_wing,lead_vf,lead_time,0.4,limit respected,2002,0.015493247241428176
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2002,0.018233718563649914
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2002,0.3742118342450901
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2002,0.2550535515170784
fixed_wing,lead_vf,lead_time,0.4,limit respected,2002,0.03825620915120673
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2002,0.23719634241951282
fixed_wing,lead_vf,lead_time,0.4,limit respected,2002,0.027478423877897833
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2002,0.03609695740243095
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2003,0.02734740667532232
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2003,0.16951087695760236
fixed_wing,lead_vf,lead_time,0.4,limit respected,2003,0.007763267161292093
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2003,0.007644294477865639
fixed_wing,lead_vf,lead_time,0.4,limit respected,2003,0.006354115710803333
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2003,0.006436113983879572
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2003,0.1311210087541327
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2003,0.07900438463038363
fixed_wing,lead_vf,lead_time,0.4,limit respected,2003,0.015462603556313398
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2003,0.07237544702770723
fixed_wing,lead_vf,lead_time,0.4,limit respected,2003,0.015296137908206359
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2003,0.016398334546906458
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2003,0.04365890175185212
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2003,0.0429608606911097
fixed_wing,lead_vf,lead_time,0.4,limit respected,2003,0.031165913012987052
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2003,0.03294842740449237
fixed_wing,lead_vf,lead_time,0.4,limit respected,2003,0.029914191265985577
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2003,0.14903134377877836
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2004,0.024417398959515335
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2004,0.1257197523468057
fixed_wing,lead_vf,lead_time,0.4,limit respected,2004,0.007649539225084579
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2004,0.007599242765499517
fixed_wing,lead_vf,lead_time,0.4,limit respected,2004,0.0065916926910638855
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2004,0.006207119499318167
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2004,0.13909884162191677
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2004,0.3289162566110267
fixed_wing,lead_vf,lead_time,0.4,limit respected,2004,0.022444137679516623
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2004,0.048333174521118336
fixed_wing,lead_vf,lead_time,0.4,limit respected,2004,0.014244966773321927
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2004,0.015706405235460498
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2004,0.036895861040523406
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2004,0.18216160901335543
fixed_wing,lead_vf,lead_time,0.4,limit respected,2004,0.03624755105535595
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2004,0.5699043957049794
fixed_wing,lead_vf,lead_time,0.4,limit respected,2004,0.03397489480297651
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2004,0.03434624340771755
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2005,0.02246280043363265
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2005,0.10762532056935907
fixed_wing,lead_vf,lead_time,0.4,limit respected,2005,0.007814130056558769
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2005,0.008025539137117003
fixed_wing,lead_vf,lead_time,0.4,limit respected,2005,0.006293650101090186
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2005,0.006336225457940531
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2005,0.01930914135974275
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2005,0.1483278349171256
fixed_wing,lead_vf,lead_time,0.4,limit respected,2005,0.021456770595054533
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2005,0.05296292552420702
fixed_wing,lead_vf,lead_time,0.4,limit respected,2005,0.017366539537702952
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2005,0.029855523335930525
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2005,0.14911375242601654
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2005,0.029849104011534032
fixed_wing,lead_vf,lead_time,0.4,limit respected,2005,0.029342638617495025
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2005,0.3130469521669068
fixed_wing,lead_vf,lead_time,0.4,limit respected,2005,0.03429799063514447
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2005,0.028406317041035807
fixed_wing,lead_vf,lead_time,0.6,planned at limit,2000,0.023328494058099565
fixed_wing,lead_vf,lead_time,0.6,planned at limit,2000,0.09389358610263407
fixed_wing,lead_vf,lead_time,0.6,limit respected,2000,0.009445172735388
