vehicle,condition,perturbation,law,route,seed,score,completed,sat_fraction
fixed_wing,typical,position noise,lead_vf,2008,0,0.05481425165975214,True,0.06112054329371817
fixed_wing,typical,position noise,lead_vf,2008,1,0.04167418110323662,True,0.044454035390591284
fixed_wing,typical,position noise,lead_vf,2009,0,0.03997650573646444,True,0.01195814648729447
fixed_wing,typical,position noise,lead_vf,2009,1,0.03977317806639617,True,0.0018070112034694614
fixed_wing,typical,position noise,lead_vf,2010,0,0.034776741263558494,True,0.0011961722488038277
fixed_wing,typical,position noise,lead_vf,2010,1,0.034675270108422515,True,0.003592814371257485
fixed_wing,typical,position noise,lead_vf,2011,0,0.028830710809085863,True,0.0
fixed_wing,typical,position noise,lead_vf,2011,1,0.034084462682379066,True,0.021973287376130978
fixed_wing,typical,velocity noise,pure_pursuit,2000,0,0.027546329984353513,True,0.0018975332068311196
fixed_wing,typical,velocity noise,pure_pursuit,2000,1,0.02108078412088791,True,0.0015077271013946476
fixed_wing,typical,velocity noise,pure_pursuit,2001,0,0.021994135999682512,True,0.0028021015761821367
fixed_wing,typical,velocity noise,pure_pursuit,2001,1,0.026747956129313417,True,0.003194888178913738
fixed_wing,typical,velocity noise,pure_pursuit,2002,0,0.04247825995445087,True,0.023019034971226208
fixed_wing,typical,velocity noise,pure_pursuit,2002,1,0.028481499660874213,True,0.0031213421771361686
fixed_wing,typical,velocity noise,pure_pursuit,2003,0,0.03642339830822127,True,0.006916192026037429
fixed_wing,typical,velocity noise,pure_pursuit,2003,1,0.025924599815684332,True,0.00429352068696331
fixed_wing,typical,velocity noise,pure_pursuit,2004,0,0.038722953274236464,True,0.015145140933950358
fixed_wing,typical,velocity noise,pure_pursuit,2004,1,0.024830450483435247,True,0.002393162393162393
fixed_wing,typical,velocity noise,pure_pursuit,2005,0,0.02846346729699422,True,0.004380201489268506
fixed_wing,typical,velocity noise,pure_pursuit,2005,1,0.026245963823450343,True,0.0017863522686673813
fixed_wing,typical,velocity noise,pure_pursuit,2006,0,0.038935752522989024,True,0.01282051282051282
fixed_wing,typical,velocity noise,pure_pursuit,2006,1,0.03217051282860757,True,0.002867383512544803
fixed_wing,typical,velocity noise,pure_pursuit,2007,0,0.027917239102024486,True,0.0028540849090260435
fixed_wing,typical,velocity noise,pure_pursuit,2007,1,0.028187734470498653,True,0.0032234957020057307
fixed_wing,typical,velocity noise,pure_pursuit,2008,0,0.04877930810653357,True,0.053367217280813214
fixed_wing,typical,velocity noise,pure_pursuit,2008,1,0.0357956399374119,True,0.034467901766479965
fixed_wing,typical,velocity noise,pure_pursuit,2009,0,0.03395051245998234,True,0.009708737864077669
fixed_wing,typical,velocity noise,pure_pursuit,2009,1,0.036138845672815806,True,0.005054151624548736
fixed_wing,typical,velocity noise,pure_pursuit,2010,0,0.03265793524930298,True,0.003980891719745223
fixed_wing,typical,velocity noise,pure_pursuit,2010,1,0.028888948505203335,True,0.004382470119521913
fixed_wing,typical,velocity noise,pure_pursuit,2011,0,0.027019218165621875,True,0.0017568517217146872
fixed_wing,typical,velocity noise,pure_pursuit,2011,1,0.030940536219625316,True,0.01765719207579673
fixed_wing,typical,velocity noise,l1,2000,0,0.02778256966701806,True,0.0018975332068311196
fixed_wing,typical,velocity noise,l1,2000,1,0.021124544778517936,True,0.0015077271013946476
fixed_wing,typical,velocity noise,l1,2001,0,0.022167200611471136,True,0.0028021015761821367
fixed_wing,typical,velocity noise,l1,2001,1,0.026762636462419193,True,0.003549875754348598
fixed_wing,typical,velocity noise,l1,2002,0,0.04224983455086991,True,0.02257636122177955
fixed_wing,typical,velocity noise,l1,2002,1,0.029078397425140158,True,0.0027311744049941474
fixed_wing,typical,velocity noise,l1,2003,0,0.036611121162057794,True,0.006509357200976403
fixed_wing,typical,velocity noise,l1,2003,1,0.02606711811717049,True,0.0039032006245121
fixed_wing,typical,velocity noise,l1,2004,0,0.038635152921261504,True,0.014724442574673959
fixed_wing,typical,velocity noise,l1,2004,1,0.024831998338034223,True,0.002735042735042735
fixed_wing,typical,velocity noise,l1,2005,0,0.028484245159360343,True,0.004380201489268506
fixed_wing,typical,velocity noise,l1,2005,1,0.026501881513847164,True,0.0017863522686673813
fixed_wing,typical,velocity noise,l1,2006,0,0.03860773021603539,True,0.011359472334188348
fixed_wing,typical,velocity noise,l1,2006,1,0.03214320409137082,True,0.002867383512544803
fixed_wing,typical,velocity noise,l1,2007,0,0.027980414984229974,True,0.0028540849090260435
fixed_wing,typical,velocity noise,l1,2007,1,0.028334109027858045,True,0.004297994269340974
fixed_wing,typical,velocity noise,l1,2008,0,0.04785713260910436,True,0.051694915254237285
fixed_wing,typical,velocity noise,l1,2008,1,0.03567383890788703,True,0.034037052994398964
fixed_wing,typical,velocity noise,l1,2009,0,0.03411913227792101,True,0.008961911874533234
fixed_wing,typical,velocity noise,l1,2009,1,0.03631216789969731,True,0.004694835680751174
fixed_wing,typical,velocity noise,l1,2010,0,0.03266596757601084,True,0.003980891719745223
fixed_wing,typical,velocity noise,l1,2010,1,0.029365684353639808,True,0.0051792828685258965
fixed_wing,typical,velocity noise,l1,2011,0,0.027136415984889466,True,0.0017568517217146872
fixed_wing,typical,velocity noise,l1,2011,1,0.030763134950144662,True,0.01765719207579673
fixed_wing,typical,velocity noise,vector_field,2000,0,0.020075525798441088,True,0.0625
fixed_wing,typical,velocity noise,vector_field,2000,1,0.017664072262207318,True,0.06586375611592021
fixed_wing,typical,velocity noise,vector_field,2001,0,0.017210463744886925,True,0.08356643356643356
