t,x,y,a_cmd,a_sat,cte
7.400000000000000355e+00,4.972940819845508287e+01,-1.082376667746511201e+00,4.028226560468672335e-01,4.028226560468672335e-01,5.548720101697330875e-01
7.450000000000000178e+00,5.006497044031772958e+01,-1.100331884184369446e+00,3.196463144204593210e-01,3.196463144204593210e-01,6.012873159350903274e-01
7.500000000000000000e+00,5.040257150209775716e+01,-1.113809874506322739e+00,2.912396501301836027e-01,2.912396501301836027e-01,5.947960884971043027e-01
7.550000000000000711e+00,5.074166884014245937e+01,-1.124558798376003255e+00,2.603596955081390329e-01,2.603596955081390329e-01,5.853145246205206931e-01
7.600000000000000533e+00,5.107055314804372870e+01,-1.133400294350894955e+00,2.452557199805783239e-01,2.452557199805783239e-01,6.184488499241588277e-01
7.650000000000000355e+00,5.139926025960500766e+01,-1.141450211582170526e+00,2.453482045391246480e-01,2.453482045391246480e-01,6.123112361344855703e-01
7.700000000000000178e+00,5.172618611440670833e+01,-1.148198097927510375e+00,2.238199809366900883e-01,2.238199809366900883e-01,5.987479351161875130e-01
7.750000000000000000e+00,5.205411210625894824e+01,-1.154517509877555526e+00,1.624933985253709801e-01,1.624933985253709801e-01,6.313460440217979475e-01
7.800000000000000711e+00,5.238070611666565668e+01,-1.156472207746954473e+00,1.065641040790083482e-01,1.065641040790083482e-01,6.142082268397827116e-01
7.850000000000000533e+00,5.270427989557173021e+01,-1.154676204030578468e+00,1.211857739674761514e-01,1.211857739674761514e-01,5.956116699148911175e-01
7.900000000000000355e+00,5.302826590390441197e+01,-1.154088177559791983e+00,1.402067787545515365e-01,1.402067787545515365e-01,6.271545088934521450e-01
7.950000000000000178e+00,5.335142387379170259e+01,-1.155043639654547150e+00,1.184579635661542618e-01,1.184579635661542618e-01,5.982142041399340915e-01
8.000000000000000000e+00,5.367632183109415678e+01,-1.154190754492829374e+00,1.455756997012772058e-01,1.455756997012772058e-01,5.865792717799732658e-01
8.050000000000000711e+00,5.399967718896882474e+01,-1.155422618762667275e+00,8.938395492731307512e-02,8.938395492731307512e-02,6.263608216862411870e-01
8.099999999999999645e+00,5.432378199968825783e+01,-1.153270114430323456e+00,6.275196543749371469e-02,6.275196543749371469e-02,5.827574959866704818e-01
8.150000000000000355e+00,5.464752875694049550e+01,-1.149230051566648259e+00,4.322360812346309061e-02,4.322360812346309061e-02,5.740646882684393715e-01
8.200000000000001066e+00,5.497022828765240376e+01,-1.144290179591906709e+00,2.141247963970614038e-02,2.141247963970614038e-02,6.093069832029399668e-01
8.250000000000000000e+00,5.529211856100767619e+01,-1.137899079549580916e+00,-2.158631193127506787e-02,-2.158631193127506787e-02,5.539233050199362518e-01
8.300000000000000711e+00,5.560997979708712080e+01,-1.129185089029540068e+00,-4.625176908340089543e-02,-4.625176908340089543e-02,5.495608677655475782e-01
8.349999999999999645e+00,5.592725017149191302e+01,-1.118981705861076037e+00,-6.961891601880691727e-02,-6.961891601880691727e-02,5.627571775087554240e-01
8.400000000000000355e+00,5.624364738313177980e+01,-1.107459733265997670e+00,-1.320409971887007705e-01,-1.320409971887007705e-01,5.099930376326580195e-01
8.450000000000001066e+00,5.655724314166690903e+01,-1.092383917127810466e+00,-9.936456126278060685e-02,-9.936456126278060685e-02,5.160115047521572906e-01
8.500000000000000000e+00,5.686639851638945942e+01,-1.079770992726267087e+00,-1.688214241912947833e-01,-1.688214241912947833e-01,4.983059736098049419e-01
8.550000000000000711e+00,5.717630409073474596e+01,-1.063008898395877866e+00,-1.671037448175271001e-01,-1.671037448175271001e-01,4.564916584976064784e-01
8.599999999999999645e+00,5.748707085589861521e+01,-1.046744028607516031e+00,-1.664785513941152706e-01,-1.664785513941152706e-01,4.888987491218725889e-01
8.650000000000000355e+00,5.779417872795964684e+01,-1.030878394169258305e+00,-2.429043811194059876e-01,-2.429043811194059876e-01,4.248566183531215512e-01
8.700000000000001066e+00,5.810139443196283082e+01,-1.010466074051255436e+00,-1.858094295899835047e-01,-1.858094295899835047e-01,4.063841710910744975e-01
8.750000000000000000e+00,5.841042519823638202e+01,-9.941624412859511040e-01,-1.778153851461331536e-01,-1.778153851461331536e-01,4.252336181997993236e-01
8.800000000000000711e+00,5.872498038932794628e+01,-9.789569428215726399e-01,-2.428315161543128098e-01,-2.428315161543128098e-01,3.551904845745134653e-01
8.849999999999999645e+00,5.903730045278850014e+01,-9.599093574281951646e-01,-2.303675315885218289e-01,-2.303675315885218289e-01,3.696548855091347230e-01
8.900000000000000355e+00,5.934961157479018112e+01,-9.419948830642781434e-01,-2.728797196398183300e-01,-2.728797196398183300e-01,3.451185703285586936e-01
8.950000000000001066e+00,5.966262845811866811e+01,-9.220266671947392467e-01,-2.179679984406310833e-01,-2.179679984406310833e-01,2.895764842191352884e-01
9.000000000000000000e+00,5.997840116770424146e+01,-9.059633336111846402e-01,-2.568036951197881224e-01,-2.568036951197881224e-01,3.434846235503922207e-01
9.050000000000000711e+00,6.029956821908546516e+01,-8.876295244622998126e-01,-2.273088952285499120e-01,-2.273088952285499120e-01,2.683833316463537511e-01
9.099999999999999645e+00,6.061977255011102983e+01,-8.717640445753974676e-01,-2.304098951653668070e-01,-2.304098951653668070e-01,2.377114366288327341e-01
9.150000000000000355e+00,6.093746010046272232e+01,-8.558618792092418381e-01,-2.059877158571235267e-01,-2.059877158571235267e-01,3.231565928206094340e-01
9.200000000000001066e+00,6.125350736001087171e+01,-8.422956665730202408e-01,-2.172534998686313223e-01,-2.172534998686313223e-01,2.023179096076473671e-01
9.250000000000000000e+00,6.157179948030433536e+01,-8.280520966376836434e-01,-2.454546162605737158e-01,-2.454546162605737158e-01,2.060176765381422637e-01
9.300000000000000711e+00,6.188911615244833087e+01,-8.121673422340043302e-01,-2.065432412909311288e-01,-2.065432412909311288e-01,2.570165118098767798e-01
9.349999999999999645e+00,6.221013942077055248e+01,-7.995276994706084217e-01,-2.430067744226815929e-01,-2.430067744226815929e-01,1.412529858325153875e-01
9.400000000000000355e+00,6.252960568026173149e+01,-7.847010898712049043e-01,-2.518050459635376437e-01,-2.518050459635376437e-01,1.895572863984577305e-01
9.450000000000001066e+00,6.285103650581975643e+01,-7.696255444702263526e-01,-2.122830632532697603e-01,-2.122830632532697603e-01,2.015993384295376445e-01
