x,y,psi,kappa,s
3.885123401647419428e+01,-4.128711123574669850e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.885342961833165276e+01
3.934762089461167989e+01,-4.181552523591623993e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.934984462104877423e+01
3.984400777274916550e+01,-4.234393923608578136e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.984625962376589570e+01
4.034039465088665111e+01,-4.287235323625532279e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.034267462648301716e+01
4.083678152902413672e+01,-4.340076723642486978e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.083908962920013863e+01
4.133316840716162233e+01,-4.392918123659441121e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.133550463191726010e+01
4.182955528529910794e+01,-4.445759523676395264e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.183191963463438157e+01
4.232594216343660065e+01,-4.498600923693350517e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.232833463735151014e+01
4.282232904157407916e+01,-4.551442323710304105e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.282474964006862450e+01
4.331871591971157187e+01,-4.604283723727258248e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.332116464278575307e+01
4.381510279784905748e+01,-4.657125123744213502e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.381757964550287454e+01
4.431148967598653599e+01,-4.709966523761167645e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.431399464821998890e+01
4.480787655412402870e+01,-4.762807923778122343e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.481040965093711748e+01
4.530426343226150721e+01,-4.815649323795076486e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.530682465365423184e+01
4.580065031039899992e+01,-4.868490723812030629e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.580323965637136041e+01
4.629703718853648553e+01,-4.921332123828985883e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.629965465908848188e+01
4.679342406667397114e+01,-4.974173523845940026e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.679606966180560335e+01
4.728981094481146386e+01,-5.027014923862893614e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.729248466452273192e+01
4.778619782294894236e+01,-5.079856323879847757e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.778889966723984628e+01
4.828258470108642797e+01,-5.132697723896803010e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.828531466995696775e+01
4.877897157922392068e+01,-5.185539123913757154e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.878172967267409632e+01
4.927535845736139919e+01,-5.238380523930711297e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.927814467539121068e+01
4.977174533549889190e+01,-5.291221923947666550e-01,-1.064480276922244451e-02,0.000000000000000000e+00,4.977455967810833926e+01
5.026813221363637751e+01,-5.344063323964620693e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.027097468082546072e+01
5.076451909177386312e+01,-5.396904723981574836e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.076738968354258219e+01
5.126090596991134873e+01,-5.449746123998528979e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.126380468625970366e+01
5.175729284804884145e+01,-5.502587524015484233e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.176021968897683223e+01
5.225367972618631995e+01,-5.555428924032437266e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.225663469169394659e+01
5.275006660432380556e+01,-5.608270324049392519e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.275304969441106806e+01
